split,phase,structure,dice_mean,dice_std,hd95_mean,hd95_std
test,ED,LV,0.8698187199497207,0.1274335943496797,12.291137340068817,25.164019526592178
test,ED,MYO,0.7115726721001231,0.10809450923656139,8.130811991691589,13.83595921136906
test,ED,RV,0.8177329123848474,0.13386294783440617,9.431931149959563,20.364521945384052
test,ES,LV,0.7967547326189568,0.1287009752130901,14.27218275308609,27.720243888380967
test,ES,MYO,0.7578685591997711,0.06028927929687775,9.086484358310699,17.495178629081963
test,ES,RV,0.7291125196990914,0.11762031513249548,12.361417372226715,21.222242069428866
train,ED,LV,0.9612570548314018,0.010370012216791102,1.0428022652864457,0.19503569828114767
train,ED,MYO,0.8574520592436002,0.03602362756066473,1.149530753493309,0.3091502739208771
train,ED,RV,0.9353672583442572,0.01782592477709218,1.0807496577501297,0.21223385293010572
train,ES,LV,0.9400592346134434,0.028500831615594063,1.096997009217739,0.39886558970278596
train,ES,MYO,0.8857105173325038,0.031384388760796834,1.106289154291153,0.217984468860524
train,ES,RV,0.9046636148117185,0.03220130121120609,1.4615381255745887,3.0154926844805803
val,ED,LV,0.9193936302478767,0.04682884471312265,1.9515425205230712,1.6892410802340345
val,ED,MYO,0.7306502905807886,0.11187794484598738,4.545511800050735,9.827088958580118
val,ED,RV,0.8286001531095296,0.1464030397302057,7.2975971579551695,21.564794056127443
val,ES,LV,0.8457647210676935,0.13777136168680196,9.94365229010582,21.45406651627836
val,ES,MYO,0.7539895475959915,0.10801536569442971,6.126930111646653,11.904254912921406
val,ES,RV,0.6747771330102302,0.20107725126482986,9.037975323200225,23.21006335329058
