fold,split,dice_LV_ED_mean,dice_LV_ED_std,dice_MYO_ED_mean,dice_MYO_ED_std,dice_RV_ED_mean,dice_RV_ED_std,dice_LV_ES_mean,dice_LV_ES_std,dice_MYO_ES_mean,dice_MYO_ES_std,dice_RV_ES_mean,dice_RV_ES_std,hd95_LV_ED_mean,hd95_LV_ED_std,hd95_MYO_ED_mean,hd95_MYO_ED_std,hd95_RV_ED_mean,hd95_RV_ED_std,hd95_LV_ES_mean,hd95_LV_ES_std,hd95_MYO_ES_mean,hd95_MYO_ES_std,hd95_RV_ES_mean,hd95_RV_ES_std
1,test,0.8914806375807135,0.11750498401030907,0.7517678501232088,0.0997446701127016,0.8506785924224247,0.11994733503393264,0.8415312782345394,0.08755294034964789,0.8082531072958531,0.05615972129304376,0.7954255190896841,0.08747885981036499,5.292436442375183,14.346764884178704,4.246356728076935,8.004483506818373,7.540107679367066,17.188402522749232,6.090204586982727,16.217654229533466,4.999509513378143,10.735788047602416,12.963929572105407,21.437147024671205
1,train,0.9722496331719637,0.007705562913710546,0.9043719865011051,0.024695684229501143,0.9552454200208198,0.013552993686981627,0.9583319617319468,0.016037987666871315,0.9244731400721065,0.022902062326995983,0.9433944575086907,0.021173571603059188,1.0,0.0,1.046688736975193,0.1411187031789187,1.046516865491867,0.1737230356224976,1.0103553384542465,0.06507707870469515,1.0487436845898628,0.15954580483640027,1.0652166500687599,0.25717743512737873
1,val,0.9230883083766509,0.042441041621447004,0.7651347630978552,0.09497677342286129,0.8257739923838081,0.10118363443221016,0.869400138838046,0.07326446206306773,0.7932456055828858,0.07427800661192142,0.7226642434894335,0.15358355066066934,2.106526309251785,1.7052694464465603,2.389452064037323,1.0956942710555342,5.645322185754776,6.777586749510757,3.7992896497249604,7.166470634726057,3.955937314033508,6.1151664614118095,11.147398757934571,22.626957678254445
2,test,0.8917149097865011,0.11447235514545072,0.7558113558754265,0.09781858832539966,0.851850736697952,0.11501992928475492,0.834234953383048,0.09832649934470372,0.8074647462257186,0.049343319338375304,0.7995132923001066,0.07277298295142533,4.189928369522095,8.286367825559392,3.40014240026474,7.472925644693865,4.32526171207428,8.047476105174159,10.118314642906189,21.743125970716758,6.473156607151031,15.117370524355465,9.944953577518463,17.093815091890573
2,train,0.9680263471587829,0.007580017798977251,0.8872863550906349,0.02780583226056729,0.9464614514659944,0.01939614040983531,0.9563873868889882,0.015159079230151782,0.9116974880057208,0.025729091885294604,0.9290286101301366,0.029515717090958835,1.0051776692271233,0.04631048142742562,1.0931980460882187,0.17405954641234994,1.1495254710316658,0.4134621519014283,1.0,0.0,1.1760407537221909,0.20605545889894894,1.2144999966025352,0.6935432622297425
2,val,0.9379013674646707,0.031195921551532148,0.8135665635935763,0.06964100981614486,0.8786259471080736,0.03542178499768989,0.8861040644151483,0.04539363969257111,0.8304140534211957,0.059090434871124385,0.7982855441173562,0.049374007604486,1.5738611459732055,0.9585960530993649,2.008682906627655,1.5778709896800134,2.640528452396393,1.5652843008018353,3.0471701979637147,3.717617991454621,2.879015493392944,3.2506963006242335,4.689082086086273,7.244393767786647
3,test,0.8897045818102249,0.11647701347354467,0.7487619635124428,0.09879247331621163,0.8372347729507379,0.11552168485948526,0.829347333298291,0.09512202954554726,0.7977529061068281,0.056120824097757926,0.783576293164423,0.08518982666848125,5.053461210727692,8.969577014598695,5.795602416992187,10.887020232772391,8.84761982679367,16.809631617681,8.497674722671508,19.018974806098164,6.400106918811798,13.85406815781982,11.998023271560669,21.29489490536946
3,train,0.968262418558189,0.007864538387311616,0.8890638492674782,0.02575508243360752,0.9485973920465522,0.012676236035420412,0.9531315313976914,0.018494634017963977,0.9126542993230549,0.025251569300165092,0.9328553615050555,0.020945522941093093,1.019505973160267,0.10364285137434867,1.0828427076339722,0.16673075948817911,1.0875729843974113,0.284066310574556,1.0638484492897988,0.24094249511914617,1.1054557874798774,0.18813953213084963,1.138650144636631,0.5939248074196714
3,val,0.9367440154851682,0.021963190741363426,0.802838050516332,0.06263295897524039,0.8829991565165063,0.05581984952367323,0.8759014367388371,0.07514409663788957,0.8296657037747984,0.04530340650250046,0.7897104241898566,0.0916912877350529,1.5222052395343781,0.5456924094403143,1.9927408397197723,1.1140178121871689,8.830628317594527,29.00244767545089,8.343201243877411,26.93042513033632,7.0148377597332,21.583175011760087,17.551151585578918,38.53554585356743
4,test,0.8944181068068034,0.11156326410209638,0.7480519460884514,0.10991893562594213,0.8539177856666776,0.11034934561146252,0.848981182788474,0.08300711286791271,0.8088204755407365,0.06010615788439803,0.7933532300448111,0.07481378606326897,5.79620685338974,15.025451403377499,5.708398985862732,14.298629952037576,6.313294970989228,14.222154085646396,7.77788779258728,20.776994379594164,6.342485709190369,15.9826316911317,13.888426609039307,24.934980630986132
