split,dice_LV_ED_mean_mean,dice_LV_ED_mean_std,dice_LV_ED_std_mean,dice_LV_ED_std_std,dice_MYO_ED_mean_mean,dice_MYO_ED_mean_std,dice_MYO_ED_std_mean,dice_MYO_ED_std_std,dice_RV_ED_mean_mean,dice_RV_ED_mean_std,dice_RV_ED_std_mean,dice_RV_ED_std_std,dice_LV_ES_mean_mean,dice_LV_ES_mean_std,dice_LV_ES_std_mean,dice_LV_ES_std_std,dice_MYO_ES_mean_mean,dice_MYO_ES_mean_std,dice_MYO_ES_std_mean,dice_MYO_ES_std_std,dice_RV_ES_mean_mean,dice_RV_ES_mean_std,dice_RV_ES_std_mean,dice_RV_ES_std_std,hd95_LV_ED_mean_mean,hd95_LV_ED_mean_std,hd95_LV_ED_std_mean,hd95_LV_ED_std_std,hd95_MYO_ED_mean_mean,hd95_MYO_ED_mean_std,hd95_MYO_ED_std_mean,hd95_MYO_ED_std_std,hd95_RV_ED_mean_mean,hd95_RV_ED_mean_std,hd95_RV_ED_std_mean,hd95_RV_ED_std_std,hd95_LV_ES_mean_mean,hd95_LV_ES_mean_std,hd95_LV_ES_std_mean,hd95_LV_ES_std_std,hd95_MYO_ES_mean_mean,hd95_MYO_ES_mean_std,hd95_MYO_ES_std_mean,hd95_MYO_ES_std_std,hd95_RV_ES_mean_mean,hd95_RV_ES_mean_std,hd95_RV_ES_std_mean,hd95_RV_ES_std_std
test,0.890722414449597,0.0029944272966398932,0.11676627039451337,0.004545037122678672,0.7510982493086197,0.0030577742479461906,0.10168113262946603,0.004875378530408963,0.8473931217273657,0.006951890272985696,0.11857336354769614,0.008253835790829975,0.8366499014961134,0.008532657312464097,0.09330929024449419,0.007951344252736641,0.8050029397064062,0.004715841922182527,0.054929058505825724,0.004030912447283814,0.7908859899547219,0.007480839305089377,0.08608744388662333,0.014896713097779846,4.912057278156281,0.6956043414928851,10.603090502048117,3.8529503731110037,4.78115899848938,1.010291879956561,9.621044383410613,2.9773188734328655,6.08841693353653,2.2373405982517016,11.788132203671418,6.272580050077398,8.396092168807984,1.5721239442905668,19.16860214361615,2.1861519895135118,5.943612139701843,0.6583214152663189,13.048493731592178,2.788735192412407,11.09863651418686,2.8622130340382945,19.32625142584574,5.009053870744156
train,0.9713679551262615,0.0031065145061042656,0.007178600860797385,0.0007796761174913666,0.899069453501881,0.0103678036240664,0.02434644345583491,0.002808451309214219,0.9529607690037988,0.005217697302172021,0.013416577232751428,0.0036112340219454572,0.9592216438072807,0.004894263942045339,0.014693474496020476,0.0029490429782735284,0.9209078164523847,0.008281385812056851,0.02305433019838914,0.00243965730793988,0.9390423500914874,0.008230493813625443,0.02215051131063649,0.0051283792776163194,1.0059722623229026,0.007996247868723112,0.039252762845839985,0.042799722738373014,1.0497235673666,0.03884800146230717,0.11656134727833427,0.07116525350152875,1.0695799139142035,0.05044273725727997,0.2351954024319963,0.11488553983305648,1.0169118252396583,0.026744351651480907,0.0742193305057073,0.09871777093833825,1.0774389174580574,0.06372955357750526,0.15247347468625777,0.04794448380952151,1.1158982422947883,0.06215754956747229,0.505258863205621,0.1632623219638975
val,0.930280359545586,0.009002129980544723,0.03834393653761049,0.02460845699392302,0.7845023783413441,0.025201736615929737,0.0905592051797945,0.04750166891489842,0.8625622772676216,0.026430173218198655,0.0652482192306244,0.03322279309562152,0.8734926469635553,0.008250239241066416,0.07959025157362687,0.03171261198024106,0.8118769066923786,0.0190298949874698,0.07481078210407775,0.03740550958048226,0.7630097619296821,0.033499744413074635,0.09880516463620942,0.037075136379763764,1.9855562829971312,0.5253659689842288,1.8913337274877953,1.8476381581463275,2.3673562014102933,0.5916013273731439,2.031755221047349,2.0460669353783643,4.885988817214966,2.655510974048174,9.854191117366243,11.498545091884697,4.202411469221115,2.3444739417750124,8.797489871374907,10.278162737645673,4.016721385717392,1.8098430128499374,7.258020984368666,8.204962236355897,9.314118282794952,5.668098386617153,17.552256344132083,14.39801544699974
