metric,mean,std
loss_train,0.07255379840731614,0.006781242072725365
loss_val,0.12164083868265148,0.013126282934291371
loss_test,0.12797381746768946,0.0013691278760925032
dice_train,0.9066378712654114,0.006653596129479318
dice_val,0.8365443348884583,0.018994884873833787
dice_test,0.8230057120323181,0.0016872445401832162
hd95_train,1.5329414367675782,0.11127741994561927
hd95_val,4.194964790344239,1.624251098089909
hd95_test,5.348840141296387,0.6771109501865871
best_epoch,534.6,83.87967572660256
train_time,151.3255616656939,18.835629522428516
