run,folder,dice_ED_train,dice_ED_val,dice_ED_test,dice_ES_train,dice_ES_val,dice_ES_test,hd95_ED_train,hd95_ED_val,hd95_ED_test,hd95_ES_train,hd95_ES_val,hd95_ES_test
baseline,FINAL_runs_lenient_single_1000,0.9180254574730865,0.8262146913127317,0.7997081014782303,0.9101444555858886,0.758177133891305,0.7612452705059398,1.0910275588432947,4.598217159509659,9.951293493906656,1.2216080963611602,8.369519241650899,11.906694827874501
less_slices,runs_lenient_wider2_kfold5_drop_empty,0.8080695584199735,0.7549488197244709,0.7191902675225395,0.7787595762160211,0.697086612733259,0.6821618943913269,15.333827210764092,17.30445302128792,19.976247423330943,18.473022959331672,23.576137034098306,26.057158455689745
less_slices_bs1,runs_lenient_wider2_kfold5_drop_empty_bs1,0.9303304146886653,0.8705970297510837,0.8368344400226837,0.9233398040497022,0.815481945713765,0.8147265650418366,1.3319770735502243,5.610685545603434,6.777265772501628,1.4600928300619125,9.927979278961818,11.703491803328195
z_crop,runs_lenient_wider2_kfold5_zspacing_only,0.940355995390361,0.8584419728075541,0.831049841966194,0.9388552785669951,0.8146448160737957,0.8149647197252292,1.0537522506713868,2.77636358499527,4.146706703662873,1.081281122068564,5.61337456146876,6.5497477315266925
xyz_crop,runs_lenient_wider2_kfold5_zspacing_xycrop,0.9411327258773139,0.8591150050515172,0.8297379284951942,0.9397239367837176,0.8161264385285386,0.8108462770524139,1.0417585812012355,3.079633767207463,5.260544403394063,1.0700829949975015,5.844417045911154,8.479446940898894
z_crop_dicece,runs_lenient_wider2_kfold5_zspacing_dicece,0.9490755519886386,0.8601427975864832,0.8340700714445605,0.9467827215564572,0.8133546573827897,0.8101280744227881,1.0097656294703483,2.7201803386211396,4.546558075269064,1.0204522648453713,5.4621228289604185,8.8430801709493
z_crop_sched,runs_lenient_wider2_kfold5_zspacing_dice_sched,0.9320498954737831,0.848579973662163,0.8221792215115801,0.932037943912547,0.8025763070980445,0.8045150930724122,1.574445315003395,3.722446798483531,5.443990613142649,1.4766597139835358,5.83020158569018,7.602016378879547
