run,folder,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,macro_f1_train,macro_f1_val,macro_f1_test,min_disease_recall_train,min_disease_recall_val,min_disease_recall_test
baseline,FINAL_runs_lenient_single_1000,,,,0.9140849565294875,0.7921959126020184,0.7804766859920851,1.1563178276022275,6.483868200580279,10.92899416089058,0.9874877810361682,0.6197402597402597,0.6897682709447416,0.9375,0.25,0.5
less_slices,runs_lenient_wider2_kfold5_drop_empty,0.0840474092215299,0.12294680640101427,0.13624217116832732,0.8777000665664673,0.8349065780639648,0.813796877861023,2.0800822019577025,4.656734228134155,6.034518671035767,0.95254706457363,0.8715809523809522,0.7386405513243579,0.875,0.8133333333333332,0.56
less_slices_bs1,runs_lenient_wider2_kfold5_drop_empty_bs1,0.0868019466102123,0.11624009676277633,0.1284892004728317,0.8883245110511779,0.8471399784088135,0.8309658527374267,1.9928886890411377,4.577940821647644,6.3166069984436035,0.9673826404462078,0.8430603174603174,0.7624147221438916,0.925,0.78,0.5599999999999999
z_crop,runs_lenient_wider2_kfold5_zspacing_only,0.07255379840731614,0.12164083868265148,0.12797381746768946,0.9066378712654114,0.8365443348884583,0.8230057120323181,1.5329414367675782,4.194964790344239,5.348840141296387,0.9724534529354265,0.8506285714285713,0.7689270722596877,0.9125,0.7933333333333333,0.54
xyz_crop,runs_lenient_wider2_kfold5_zspacing_xycrop,0.06894668687134978,0.12088828340172764,0.130106319963932,0.9066986680030823,0.8376207113265991,0.8202921867370605,1.5591101408004762,4.462025260925293,6.869995784759522,0.9749780058651026,0.8702095238095238,0.7659849477185592,0.925,0.77,0.5
z_crop_dicece,runs_lenient_wider2_kfold5_zspacing_dicece,0.07984825316816564,0.15625128269195548,0.17092081695795053,0.913617479801178,0.836748731136322,0.8220991015434265,1.8410289287567139,4.091151571273803,6.694819164276123,0.9652652233914095,0.8670539682539683,0.7636487238550773,0.9375,0.7933333333333332,0.56
z_crop_sched,runs_lenient_wider2_kfold5_zspacing_dice_sched,0.07397145885974163,0.12923841789364815,0.13478979533910748,0.8984431505203248,0.8255780577659607,0.8133471488952637,2.155620813369751,4.776324272155762,6.523003673553466,0.975168634022524,0.8656434185094133,0.7767703757831635,0.9375,0.7875,0.52
