run,folder,dice_DCM_train,dice_DCM_val,dice_DCM_test,dice_HCM_train,dice_HCM_val,dice_HCM_test,dice_MINF_train,dice_MINF_val,dice_MINF_test,dice_NOR_train,dice_NOR_val,dice_NOR_test,dice_RV_train,dice_RV_val,dice_RV_test,hd95_DCM_train,hd95_DCM_val,hd95_DCM_test,hd95_HCM_train,hd95_HCM_val,hd95_HCM_test,hd95_MINF_train,hd95_MINF_val,hd95_MINF_test,hd95_NOR_train,hd95_NOR_val,hd95_NOR_test,hd95_RV_train,hd95_RV_val,hd95_RV_test
baseline,FINAL_runs_lenient_single_1000,0.9120477442260418,0.8070319523268483,0.8362175758011331,0.9132647977819477,0.7546712309130689,0.7295256724034109,0.9147583772227498,0.699375026709832,0.7912814945511701,0.9222977486933156,0.8758898341950166,0.7768144018792857,0.9080561147233829,0.824011518865326,0.7685442853254254,1.1232884004712105,3.166545644402504,8.464351054032644,1.1274133746822674,6.242278272906939,5.647158680359523,1.3463129090766113,11.193991755445799,9.240786002079645,1.0345177948474884,1.4846537957588832,19.11027418176333,1.1500566589335601,10.331871534387272,12.182400886217753
less_slices,runs_lenient_wider2_kfold5_drop_empty,0.7967755390986051,0.7362714759703043,0.7439154241919623,0.7711767226963699,0.6980594007546059,0.6456159517502799,0.802878220004472,0.7280858750823447,0.7026877003369497,0.7952780199137354,0.7630427049784381,0.685824727155258,0.8009643348768044,0.704629124358632,0.7253366013502158,15.383952133109172,14.939227071404456,18.2973737180233,19.495941846817733,25.96527656515439,23.2096649034818,15.8872846737504,22.743236831823985,19.82965577284495,17.732530114551388,17.707530345519384,31.15464441378911,16.017416657010713,20.846204324563345,22.592175889412562
less_slices_bs1,runs_lenient_wider2_kfold5_drop_empty_bs1,0.920231917047099,0.8531815577753731,0.8676521538015229,0.9194384197276231,0.8266829354812508,0.7832993647875159,0.9222443915245482,0.8312902180178732,0.8164272741989924,0.9369030861297316,0.8773863219975351,0.8228629620364648,0.9353577324169169,0.8266564053900896,0.8386607578368048,1.2048541143536569,7.6146230171124145,4.101037589708964,1.7184154416124027,8.704008869330089,8.723872335751853,1.5847585462033749,9.229964142044384,6.096371506849925,1.4068692048390707,3.754511115948359,15.396853790680566,1.0652774520218373,9.543554916977882,11.883758716583252
z_crop,runs_lenient_wider2_kfold5_zspacing_only,0.9360990973012185,0.8460673940512073,0.8598989619133738,0.9413512537255061,0.8232353475980428,0.7866448901174723,0.9336830489011169,0.8338290481883703,0.8131984925021307,0.9477950565584852,0.8700715247754692,0.8213764925466812,0.9390997284070638,0.809513657590285,0.8339175671489004,1.0851445823907853,2.4044272859891254,2.536102548837662,1.091334600498279,4.805297396580378,4.120110351244608,1.1101125612854958,4.041052826245626,4.109260717630386,1.0036675157646338,3.1011623978614806,10.612844778299332,1.0473241719106832,6.622405459483464,5.362817691961924
xyz_crop,runs_lenient_wider2_kfold5_zspacing_xycrop,0.9372225947823415,0.8499314642418019,0.8597625415308995,0.9421348263825344,0.8256692122587557,0.7847387205320702,0.937774531048882,0.8272395528098784,0.8119372306830565,0.9448983577676584,0.8719647133720025,0.816301488991632,0.9401113466711621,0.8132986662677011,0.8287205321313618,1.0626777892311414,4.716153828303019,3.1336991051832834,1.0787523741523424,5.6817633231480915,4.997633820374807,1.0787145540118217,4.8003671328226725,4.830108618736267,1.024967584013939,2.182611899574598,13.061783194144567,1.0344916390875976,4.92923084894816,8.326753622293472
z_crop_dicece,runs_lenient_wider2_kfold5_zspacing_dicece,0.9452370111814483,0.853222790127585,0.8616128270373039,0.9498673796014477,0.8197327493181212,0.7851064427371396,0.94413382234186,0.8258663642755211,0.8096406143082289,0.9526018764907441,0.8718249138222843,0.8145814639919567,0.9478055942472393,0.8130968198796704,0.8395540165937424,1.0162478948632876,2.5728095243374507,2.8485331841309867,1.011649219195048,5.784330805142721,4.757633041938146,1.0204880538086096,3.8168937106927237,5.286927002271016,1.0177972791095575,1.852559079726537,15.194693135023119,1.0093622888127962,6.4291647990544645,5.386309252182643
z_crop_sched,runs_lenient_wider2_kfold5_zspacing_dice_sched,0.9260485316630414,0.8437849600308798,0.8496454402855802,0.934051933278465,0.8146064337020921,0.7823387396578544,0.9298446417542005,0.8167617864780959,0.8047294698891042,0.9394162746471117,0.860664499019489,0.8053329602878518,0.9308582171230071,0.7920730226699616,0.82468917633959,1.7914652017255623,3.05082483390967,4.260905975103379,1.4538338934381803,4.7788021504879,5.282888874610265,1.5646448900302252,4.926878545681635,5.143186397155126,1.4225349115828672,2.2171210636695227,12.866820882558823,1.395283675690492,8.90799436668555,5.061215350627899
