epoch,loss_train,loss_val,elapsed_min
1,0.7561397269368172,0.6658862650394439,0.1954360008239746
2,0.6181221395730973,0.46583078503608705,0.3933184385299683
3,0.5266042165458202,0.41799294054508207,0.5897926171620687
4,0.49065305814147,0.38325267732143403,0.809777029355367
5,0.4475267089903355,0.34420413374900816,1.0161626577377318
6,0.4241550870239735,0.343116694688797,1.2202122648557028
7,0.3870184697210789,0.32857424914836886,1.4234145085016887
8,0.34507309794425967,0.3085705190896988,1.6288053870201111
9,0.33401719890534876,0.27308290302753446,1.8300027251243591
10,0.34451543539762497,0.31529703438282014,2.021682345867157
11,0.30259949043393136,0.27830532342195513,2.213625888029734
12,0.28491090051829815,0.23531670570373536,2.4084553519884744
13,0.29790668450295926,0.2777059480547905,2.6064940452575684
14,0.2820995707064867,0.23474717140197754,2.800831158955892
15,0.2729545429348946,0.21646766364574432,2.9998889446258543
16,0.2626904956996441,0.2237703174352646,3.1963750163714093
17,0.26801051422953603,0.21866774559020996,3.387661302089691
18,0.2531631488353014,0.20747013986110688,3.5788273056348165
19,0.2436767876148224,0.207869853079319,3.7710940917332967
20,0.23237778507173062,0.21387308984994888,3.9593595306078595
21,0.2217502061277628,0.20891038924455643,4.160943063100179
22,0.21170891523361207,0.18293358087539674,4.358779577414195
23,0.21185869500041007,0.19757795035839082,4.566473078727722
24,0.2048534132540226,0.19020201861858368,4.758209407329559
25,0.20323169082403184,0.1899141937494278,4.938936328887939
26,0.199522290751338,0.171599817276001,5.138745713233948
27,0.1960781356319785,0.19651779234409333,5.336991953849792
28,0.21105755697935819,0.2071777254343033,5.559480059146881
29,0.21191241964697838,0.18843128830194472,5.787320232391357
30,0.20205485112965108,0.17546991407871246,6.030689986546834
31,0.18843804001808168,0.1832281231880188,6.273434193929036
32,0.20126649141311645,0.17310481667518615,6.530875539779663
33,0.19764911532402038,0.16968136429786682,6.774099254608155
34,0.18669684380292892,0.1680895745754242,7.0180437962214155
35,0.19193505235016345,0.17876868695020676,7.25951578617096
36,0.17033166885375978,0.16260662376880647,7.495969446500142
37,0.17661711610853673,0.17281497716903688,7.743610413869222
38,0.18885604199022055,0.17532813027501107,8.004102238019307
39,0.1790493143722415,0.16390947327017785,8.259459161758423
40,0.1774757383391261,0.1638132192194462,8.507304100195567
41,0.172510377317667,0.16456228718161584,8.768394128481548
42,0.1768386121839285,0.16513098850846292,9.027096108595531
43,0.16867611203342675,0.17757563441991805,9.28025770187378
44,0.17577346581965686,0.15021333172917367,9.535335862636567
45,0.16842256914824247,0.15830255672335625,9.76127512852351
46,0.1617696262896061,0.1487089551985264,9.979309844970704
47,0.16172217521816493,0.1684111900627613,10.183908983071644
48,0.17208711002022029,0.15487619191408158,10.379636538028716
