metric,mean,std
loss_train,0.07984825316816564,0.006429916747284137
loss_val,0.15625128269195548,0.01739142809088129
loss_test,0.17092081695795053,0.0015644736089986907
dice_train,0.913617479801178,0.004861503434802284
dice_val,0.836748731136322,0.019137789396815135
dice_test,0.8220991015434265,0.002094502987661281
hd95_train,1.8410289287567139,0.5978267746060408
hd95_val,4.091151571273803,1.0327545377473275
hd95_test,6.694819164276123,1.2591978565933508
best_epoch,605.2,70.12631460443362
train_time,246.29370868444448,20.44225520049744
