fold,run_name,arch_name,loss_name,lr,weight_decay,batch_size,channels,strides,median_spacing,target_spacing,epochs,min_epochs,early_stopping_patience,early_stopping_min_delta,save_every_n_epochs,train_size,val_size,test_size,best_epoch,train_time,best_train_loss,best_val_loss,epochs_ran,stopped_early,stop_epoch,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,macro_f1_train,macro_f1_val,macro_f1_test,min_disease_recall_train,min_disease_recall_val,min_disease_recall_test,recall_DCM_train,recall_DCM_val,recall_DCM_test,recall_HCM_train,recall_HCM_val,recall_HCM_test,recall_MINF_train,recall_MINF_val,recall_MINF_test,recall_RV_train,recall_RV_val,recall_RV_test,recall_NOR_train,recall_NOR_val,recall_NOR_test
1,kfold5_zspacing_only_wider2_DiceCELoss_lr0.001_wd1e-05_bs2_ep1000_min400_pat200,wider2,DiceCELoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)","(1.5625, 1.5625, 10.0)","(1.5625, 1.5625, 5.0)",1000,400,200,0.0001,10,80,20,50,619,245.69310213327407,0.0746112828142941,0.17955919206142426,819,True,819,0.07072629472240806,0.17955919429659845,0.16897162765264512,0.9071027636528015,0.8154397010803223,0.8248137831687927,2.8091540336608887,4.615379333496094,4.746729850769043,0.9624877810361682,0.8373333333333333,0.8032323232323233,0.9375,0.8333333333333333,0.6,0.9375,0.8333333333333333,0.8,1.0,0.8666666666666666,0.8,1.0,0.8666666666666666,0.6,0.9375,0.8833333333333332,1.0,0.9375,0.7666666666666666,0.8
2,kfold5_zspacing_only_wider2_DiceCELoss_lr0.001_wd1e-05_bs2_ep1000_min400_pat200,wider2,DiceCELoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)","(1.5625, 1.5625, 10.0)","(1.5625, 1.5625, 5.0)",1000,400,200,0.0001,10,80,20,50,629,253.1230980793635,0.07181228138506413,0.1402941443026066,829,True,829,0.08298869887366891,0.14029415026307107,0.17294848442077637,0.9126279950141907,0.8575239181518555,0.8201362490653992,1.6522796154022217,5.2412004470825195,6.598529815673828,1.0,0.9231746031746033,0.753236198300137,1.0,0.8666666666666666,0.5,1.0,0.8666666666666666,0.8,1.0,0.8666666666666668,1.0,1.0,0.9333333333333333,0.5,1.0,1.0,0.9,1.0,0.95,0.6
3,kfold5_zspacing_only_wider2_DiceCELoss_lr0.001_wd1e-05_bs2_ep1000_min400_pat200,wider2,DiceCELoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)","(1.5625, 1.5625, 10.0)","(1.5625, 1.5625, 5.0)",1000,400,200,0.0001,10,80,20,50,498,216.82653137842814,0.09095887457951904,0.13989029005169867,698,True,698,0.08810378573834896,0.13989029303193093,0.1710265851020813,0.9115177392959595,0.851417064666748,0.8221798539161682,1.9858448505401611,2.628241777420044,6.682452201843262,0.9753320683111955,0.8756190476190475,0.7512414056531704,0.9375,0.7499999999999999,0.5,1.0,0.9333333333333333,0.9,0.9375,0.7499999999999999,0.9,1.0,0.9333333333333332,0.5,0.9375,0.9333333333333332,0.9,1.0,0.8333333333333333,0.6
4,kfold5_zspacing_only_wider2_DiceCELoss_lr0.001_wd1e-05_bs2_ep1000_min400_pat200,wider2,DiceCELoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)","(1.5625, 1.5625, 10.0)","(1.5625, 1.5625, 5.0)",1000,400,200,0.0001,10,80,20,50,590,242.32098691860836,0.07680044062435627,0.16795654371380805,790,True,790,0.07782710772007703,0.16795653849840164,0.16986656695604324,0.9189623594284058,0.8181861639022827,0.8234108686447144,1.3131376504898071,4.488686561584473,7.263442516326904,0.9503543499511242,0.9291428571428572,0.7922305764411026,0.9375,0.8666666666666668,0.6,0.9375,0.95,1.0,0.9375,0.8666666666666668,0.8,1.0,0.95,0.6,0.9375,0.9333333333333332,1.0,0.9375,0.95,0.6
5,kfold5_zspacing_only_wider2_DiceCELoss_lr0.001_wd1e-05_bs2_ep1000_min400_pat200,wider2,DiceCELoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)","(1.5625, 1.5625, 10.0)","(1.5625, 1.5625, 5.0)",1000,400,200,0.0001,10,80,20,50,690,273.5048249125481,0.08360934825614094,0.15355623587965966,890,True,890,0.07959537878632546,0.15355623736977578,0.17179082065820694,0.9178765416145325,0.8411768078804016,0.8199547529220581,1.4447284936904907,3.4822497367858887,8.182941436767578,0.9381519176585591,0.7699999999999999,0.7183031156486533,0.875,0.6499999999999999,0.6,0.875,0.8166666666666667,0.9,0.9375,0.8666666666666666,0.9,0.9375,0.6499999999999999,0.6,0.9375,0.7333333333333333,1.0,1.0,0.8833333333333332,0.3
