split,dice_LV_ED_mean_mean,dice_LV_ED_mean_std,dice_LV_ED_std_mean,dice_LV_ED_std_std,dice_MYO_ED_mean_mean,dice_MYO_ED_mean_std,dice_MYO_ED_std_mean,dice_MYO_ED_std_std,dice_RV_ED_mean_mean,dice_RV_ED_mean_std,dice_RV_ED_std_mean,dice_RV_ED_std_std,dice_LV_ES_mean_mean,dice_LV_ES_mean_std,dice_LV_ES_std_mean,dice_LV_ES_std_std,dice_MYO_ES_mean_mean,dice_MYO_ES_mean_std,dice_MYO_ES_std_mean,dice_MYO_ES_std_std,dice_RV_ES_mean_mean,dice_RV_ES_mean_std,dice_RV_ES_std_mean,dice_RV_ES_std_std,hd95_LV_ED_mean_mean,hd95_LV_ED_mean_std,hd95_LV_ED_std_mean,hd95_LV_ED_std_std,hd95_MYO_ED_mean_mean,hd95_MYO_ED_mean_std,hd95_MYO_ED_std_mean,hd95_MYO_ED_std_std,hd95_RV_ED_mean_mean,hd95_RV_ED_mean_std,hd95_RV_ED_std_mean,hd95_RV_ED_std_std,hd95_LV_ES_mean_mean,hd95_LV_ES_mean_std,hd95_LV_ES_std_mean,hd95_LV_ES_std_std,hd95_MYO_ES_mean_mean,hd95_MYO_ES_mean_std,hd95_MYO_ES_std_mean,hd95_MYO_ES_std_std,hd95_RV_ES_mean_mean,hd95_RV_ES_mean_std,hd95_RV_ES_std_mean,hd95_RV_ES_std_std
test,0.867459853328427,0.03121761042315892,0.11315845919379677,0.0051848408764731515,0.7493255858686465,0.0039017181117354826,0.09942911437191836,0.002520533476071085,0.8497522253376667,0.005029973028823813,0.11819936510587148,0.006041881538348137,0.8147547173778301,0.029149877255510437,0.09226555127906186,0.00807747626417455,0.8067265749723761,0.0013429267693609375,0.055462725079346575,0.002635767842358084,0.7920639868670303,0.006362736563378411,0.08054102237050496,0.009138804097678926,6.272845969676971,1.2925315193486928,10.65840983440641,3.9761520312934544,4.030187962055207,0.714889357546817,7.398276746922733,2.504901340070471,6.02893790769577,1.3208477107765577,13.13853739505846,4.508436793592111,9.852355926036834,1.439177700281817,21.25696715516053,2.503694137696616,5.337686228752136,1.0816681212724286,12.434185534918635,2.5481537978992765,7.6160069818496705,1.3013342089178455,14.725000760600318,3.2145212294091947
train,0.9441063851738974,0.03285087837686052,0.007321918409643659,0.0014700883947700585,0.8989528258410134,0.013201149976447647,0.02417241017171901,0.0035103676339758665,0.9530904754064388,0.007421345342909903,0.011531739537194458,0.0021988365147811027,0.9329469387489573,0.031421660308003085,0.013936777862127072,0.003951790250965427,0.9220116914799503,0.010873505497552774,0.024648820255562247,0.0039182287583051575,0.9411552015087338,0.012247416226304108,0.019440183187119438,0.0039120874432204645,2.5647250032424926,2.1038383431634338,0.43603677129619783,0.37674290544657335,1.0587655729055405,0.043268367398051594,0.2140457338662789,0.07774393968288912,1.0998453688621521,0.038415834424594654,0.31236655968416777,0.05030311011973172,2.17012997597456,1.5479028286480268,0.5715748574801001,0.5874047274470582,1.0888391187787057,0.05419166591590226,0.23461599529044913,0.058713720138613895,1.171010047197342,0.04636535368333077,0.6648239399283672,0.08381481146524714
val,0.9046301505679336,0.038697650904203816,0.041204645935090774,0.03403284341594003,0.7767182059398334,0.026687442480733927,0.09357352366960245,0.05180903521025337,0.8643915644787219,0.02047309381658458,0.06974094521475713,0.03297821665436079,0.8403707826344284,0.0321830451331927,0.09427929308568546,0.03931196944592495,0.8068473073959506,0.02298025222486737,0.08224079851670042,0.04559073490874817,0.7605108312637541,0.035090230108324585,0.1068642469386391,0.041343494865345734,4.138418513536453,2.518940063710109,5.281450254013126,6.288502906567394,3.3265207564830783,1.2406036437023402,6.1183843754822655,5.6414320647851905,3.7024011254310607,1.7317156225691952,4.82291855590251,5.187785069437027,5.640046180486679,2.986028595101973,9.342714748030499,7.55789201407763,3.9710915768146515,2.1285902361988414,7.387006007848626,7.149684664442453,7.8794669997692095,4.757905107751119,14.291544069468927,10.876072515396022
