metric,mean,std
loss_train,0.07397145885974163,0.005135975177277159
loss_val,0.12923841789364815,0.015767409554842595
loss_test,0.13478979533910748,0.00698375840589015
dice_train,0.8984431505203248,0.012661017206002627
dice_val,0.8255780577659607,0.023261377113665438
dice_test,0.8133471488952637,0.009160043238053634
hd95_train,2.155620813369751,0.5592152635334452
hd95_val,4.776324272155762,1.8767920629967532
hd95_test,6.523003673553466,0.5146543001489965
best_epoch,323.0,45.58508528016593
train_time,184.01680266062417,3.296922993055932
