fold,split,dice_LV_ED_mean,dice_LV_ED_std,dice_MYO_ED_mean,dice_MYO_ED_std,dice_RV_ED_mean,dice_RV_ED_std,dice_LV_ES_mean,dice_LV_ES_std,dice_MYO_ES_mean,dice_MYO_ES_std,dice_RV_ES_mean,dice_RV_ES_std,hd95_LV_ED_mean,hd95_LV_ED_std,hd95_MYO_ED_mean,hd95_MYO_ED_std,hd95_RV_ED_mean,hd95_RV_ED_std,hd95_LV_ES_mean,hd95_LV_ES_std,hd95_MYO_ES_mean,hd95_MYO_ES_std,hd95_RV_ES_mean,hd95_RV_ES_std
1,test,0.8946534030493286,0.11297310888505151,0.7550701802456427,0.10110589534081253,0.8442280081332757,0.1264176945812356,0.8411863270518104,0.08848840425920405,0.8108000144115942,0.051266337749182135,0.7906059335841931,0.0882670672926893,3.6101213455200196,5.672054243215592,3.356265869140625,3.806234272584328,7.071362524032593,16.5058922945302,7.149500238895416,17.262663967143446,4.134852883815765,9.103125340681265,9.047874159812928,17.994551549268287
1,train,0.9760077698033152,0.005370992175260075,0.9115343569462532,0.020829585006677084,0.9585031286874454,0.010248288055226934,0.9653226575795888,0.010850572122953187,0.9295052872042435,0.02147396409731809,0.9465896161228328,0.01797504226844896,1.0,0.0,1.020710676908493,0.09084531642359461,1.0155330076813698,0.07919025475455584,1.0051776692271233,0.04631048142742562,1.0310660153627396,0.10978859699485122,1.0699532002210617,0.3801400777331909
1,val,0.9249179853945817,0.04740134276114246,0.76839151994228,0.09230254744138541,0.8378044089221339,0.09788713117378414,0.8665056636041847,0.07787857806089797,0.7936854131371904,0.07842816407387299,0.7135426393730017,0.1561697331292509,2.1927253127098085,2.6639810131185118,2.455057018995285,1.9399346866371323,3.588125240802765,2.3753578760515355,5.715884894132614,13.79159680657191,2.3044993400573732,0.8517985968370252,14.841635471582412,31.577276358554546
2,test,0.8923604404024742,0.11892543111327478,0.7554754301546752,0.09901759533233195,0.8461404143205901,0.11870854920671114,0.8450915323992767,0.08889879425233876,0.808278119162052,0.050578121779365486,0.7934887427214421,0.08890489564851742,4.658258242607117,14.04825626771538,4.4653614807128905,13.789434674082145,6.118016405105591,12.33167202892747,6.93941034078598,20.008554918553205,5.524097831249237,16.17534282692765,10.313929529190064,17.068637558223394
2,train,0.9709163490807594,0.00744290806657165,0.89620629641997,0.02552640822353225,0.9507587385127655,0.017386649632997315,0.9577802183594667,0.015734706956454233,0.9178607764925768,0.025422532990027336,0.938088614745247,0.022168755759579634,1.0051776692271233,0.04631048142742562,1.041421353816986,0.12504806961613424,1.1105288118124008,0.34380704817863306,1.020710676908493,0.09084531642359461,1.0828427076339722,0.16673075948817892,1.0974809303879738,0.4589869122315048
2,val,0.9416390827585351,0.028027563955822423,0.818057102071483,0.06449120291456911,0.8719648431423428,0.03787125838962097,0.8854331101991276,0.04690306155931643,0.8355928633130494,0.05008623978034073,0.792732688300544,0.06498842772174786,1.620409506559372,1.4415901575349852,1.841651064157486,1.3212120910312102,2.789628714323044,1.6758255279381002,6.275624078512192,17.003452603349263,2.282131105661392,1.2319764127341122,3.79871324300766,2.419170675573114
3,test,0.8924444539017204,0.11439281688026706,0.7514370501411747,0.10523742671326058,0.8535310279885229,0.1099802094723915,0.8402766903772293,0.09658891287735906,0.8056903747851117,0.05274879041126402,0.8023877122495091,0.07926413237450156,3.5679129338264466,5.542781468680774,4.2432590055465695,8.057488619878361,3.1521143674850465,2.7642314851436485,8.377908577919007,17.985631048586608,4.526640222072602,9.234383143539002,5.986750776767731,11.978428762583343
3,train,0.9725698944051377,0.006236420000354154,0.8980196208766664,0.02482552011776966,0.9515171628474898,0.012145190298947162,0.9611032498015077,0.015051055553157716,0.9201170603389986,0.02410069096921244,0.9363993381339073,0.028752548145102443,1.0051776692271233,0.04631048142742562,1.0569543614983559,0.143544526843019,1.0475389808416367,0.16736854805656332,1.0228553384542465,0.1283466622298413,1.0931980460882187,0.17405954641234994,1.1458382546901702,0.6101719806320991
3,val,0.9361849426147636,0.022989141156291252,0.8030357210665982,0.05626848128613682,0.8750172969508994,0.07941629689081753,0.8820949249975355,0.06612160427954165,0.8317458191415052,0.04562742672342845,0.7874649408581628,0.08943620860606186,2.548272210359573,4.45812519027077,1.9580685377120972,0.8129604189512469,2.8677228569984434,3.7966060347444976,2.758071517944336,2.301431090469179,1.9733005464076996,0.7987391070609066,4.589502453804016,6.669350851879631
4,test,0.8925124410420708,0.11812308728880866,0.7491770846774369,0.10616184016684634,0.8468851719369539,0.13549047207556839,0.8357138504815018,0.09351536289740751,0.8054758231891997,0.045833888500622276,0.791492668091244,0.09532694303943476,3.1879947137832643,3.63313627194625,3.7061506843566896,7.372598859704581,5.067113347053528,9.903836348279038,7.25294287443161,15.179349704428557,4.016313445568085,8.533176341317546,7.109922013282776,11.913638114776859
4,train,0.972729732234837,0.006909109517220533,0.8990403375058446,0.025424371700651947,0.949274873108779,0.018309568197508293,0.9615830343448539,0.015400797613577065,0.92026817440196,0.024425025169507855,0.932000475507565,0.028400275447023934,1.0051776692271233,0.04631048142742562,1.0258883461356163,0.10089772731222361,1.0887276872992515,0.2195313584245724,1.0155330076813698,0.07919025475455584,1.088110090792179,0.1778615387041086,1.128014436364174,0.49307449259935643
4,val,0.9251549557960523,0.07037154345833699,0.7519349955945848,0.17662446132700077,0.8511007885183016,0.08117320477623904,0.8580282413173655,0.09930047742356901,0.7829715076045545,0.15581688994617904,0.7333870503453267,0.10147409167612334,2.4730747401714326,4.655937069832802,3.4632237553596497,6.143553209851438,4.62353282570839,9.568200519792004,12.55289106965065,23.208970141547784,6.389031791687012,14.017072383374916,9.923226338624954,16.987558297229796
5,test,0.893389895654519,0.11385532419093258,0.7553065595652484,0.09912910443790904,0.8431360682792772,0.1223100802104221,0.8420702146405273,0.08644708181438689,0.8104937210559339,0.04738162418033421,0.8014190716778128,0.08746236120364609,2.683984847068787,2.526436205334333,2.79489191532135,2.820216554481235,4.517792873382568,8.62420592946264,5.688986759185791,11.112675288345034,4.171951124668121,8.717546583841916,8.00513519525528,16.76018378903493
5,train,0.9671865737128135,0.008481402987258618,0.8882159524698732,0.029753614705062926,0.9428591442434661,0.017750595926582922,0.9545896542723276,0.01326081334902004,0.912161046235032,0.028278764419522883,0.9294599749648194,0.023923579570129642,1.0206285193562508,0.14519276215956334,1.1221710115671157,0.2814648929794579,1.2406479954719543,0.4343639039922719,1.025806188583374,0.15168809967391475,1.179625503718853,0.2994919675679061,1.2130047649145126,0.5429590217919128
5,val,0.9263616544494129,0.031001149657472315,0.7764054213517538,0.05863884726064662,0.8686588735395893,0.03703619758573243,0.8658168736777417,0.12141509520355348,0.8108104767811259,0.06338887924294241,0.7798600284565202,0.10838662620688326,1.981451791524887,1.2025625276885932,4.184957683086395,9.60924725768142,3.0575525164604187,2.5785268114267983,2.505939710140228,2.031402363645729,4.536997789144516,9.637268053309617,3.753169071674347,1.696284716617055
