metric,mean,std
loss_train,0.06894668687134978,0.006029670981716796
loss_val,0.12088828340172764,0.01344465395937219
loss_test,0.130106319963932,0.0034156646381080535
dice_train,0.9066986680030823,0.0045673172675412665
dice_val,0.8376207113265991,0.019103664477933654
dice_test,0.8202921867370605,0.004774917008198469
hd95_train,1.5591101408004762,0.17927866199974662
hd95_val,4.462025260925293,2.021176186443243
hd95_test,6.869995784759522,0.8680362601485531
best_epoch,623.4,144.373820341501
train_time,252.5712804539998,42.97311810121676
