fold,split,dice_LV_ED_mean,dice_LV_ED_std,dice_MYO_ED_mean,dice_MYO_ED_std,dice_RV_ED_mean,dice_RV_ED_std,dice_LV_ES_mean,dice_LV_ES_std,dice_MYO_ES_mean,dice_MYO_ES_std,dice_RV_ES_mean,dice_RV_ES_std,hd95_LV_ED_mean,hd95_LV_ED_std,hd95_MYO_ED_mean,hd95_MYO_ED_std,hd95_RV_ED_mean,hd95_RV_ED_std,hd95_LV_ES_mean,hd95_LV_ES_std,hd95_MYO_ES_mean,hd95_MYO_ES_std,hd95_RV_ES_mean,hd95_RV_ES_std
1,test,0.8939251912004548,0.11486537189749722,0.7528954427031335,0.105941470733651,0.8556953701165707,0.11914733165732047,0.8357556969261389,0.09943299128054374,0.8042908746172767,0.06349154398045528,0.8063200631760042,0.08248094723227163,2.9232125210762026,4.355455897207643,2.7901965308189394,3.334238408638532,2.988359649181366,2.1470296325384375,8.774653866291047,19.567917863673927,3.7865763187408445,8.693877287024137,7.217379333972931,13.889768327247074
1,train,0.9764175698097258,0.005158148037975292,0.9169861671856522,0.019518479283649266,0.9602558363351374,0.010530346624338324,0.9646042724877348,0.011648674749149022,0.9348878835388383,0.019525496059883674,0.9484907888423244,0.016498990129361884,1.0,0.0,1.0018114253878594,0.016201881213689668,1.028473961353302,0.17354476915729258,1.0,0.0,1.0051776692271233,0.04631048142742562,1.0051776692271233,0.046310481427425616
1,val,0.9226696228670782,0.046686416293235694,0.7661624333441909,0.0906648265910977,0.8411444971416984,0.1145335000632961,0.8588957578206763,0.08016675819989622,0.7854381674492037,0.07625870542162289,0.7183274626479692,0.1557874930307192,2.249598443508148,2.5003802684665035,2.2650023102760315,0.9568393783356326,3.7347232520580294,2.742321437165478,9.547224932909012,21.34108728145253,2.424978083372116,1.1329891601706132,7.4707497417926785,13.219641939523262
2,test,0.8944409309068998,0.11507787108747643,0.7508354512235366,0.10205836107138168,0.8475922024801412,0.13195307675264653,0.8384744022009825,0.10269949586172368,0.7977442729172067,0.05423081748647356,0.7917306050247828,0.09709189515978194,6.185998194217682,16.14751081155989,5.042143027782441,12.735801053414628,4.5910834169387815,10.709863048536707,9.235092062950134,20.05819427410508,6.398391766548157,16.397218116932116,8.138468716144562,15.76991516940216
2,train,0.9769751577978875,0.005542142656604849,0.9096152208288126,0.022837574698811633,0.9597372653824638,0.009652111227531833,0.9668951833470552,0.012567702629100298,0.9295123238057734,0.02109973158090302,0.9441567088036724,0.019975844191778464,1.0,0.0,1.0051776692271233,0.04631048142742563,1.0,0.0,1.0,0.0,1.0155330076813698,0.07919025475455584,1.0051776692271233,0.04631048142742562
2,val,0.9391294116370101,0.026259472881971443,0.8076104870122073,0.06654286796024765,0.8801735246671113,0.03508792335048587,0.8899678348290919,0.04201312328885181,0.8241357176173457,0.05836516299425807,0.8041266487580805,0.07767966398622654,5.95525279045105,19.29098496638354,1.9325396597385407,1.4012364080679396,2.4592833280563355,1.4696670587968204,12.8910291492939,32.862730576622454,2.1893288493156433,0.9215770998058976,6.019768470525742,11.201262806298946
3,test,0.8972318007571581,0.10940529633415637,0.7560083209212212,0.0988892037523223,0.8572196703147935,0.10750671700693697,0.8381728992278227,0.09201080609019537,0.805959436197587,0.046523463173962304,0.7784868179319959,0.09699324871726898,3.9200822830200197,7.729277939100227,2.9013935351371765,3.65497361873826,5.400498018264771,11.998098979157,13.297681851387024,26.43681641908094,4.916994435787201,10.238974098980538,9.658064863681794,16.501270805389474
3,train,0.976000024644034,0.005104407747307903,0.9092142550757181,0.019932366801916596,0.9528795210049935,0.015097140245320386,0.9667806014062268,0.010863644778114865,0.9313684146934715,0.020854062631253386,0.9269772925097912,0.030973990770658124,1.0051776692271233,0.04631048142742562,1.0103553384542465,0.06507707870469515,1.045710676908493,0.1785714813488315,1.0051776692271233,0.04631048142742562,1.0103553384542465,0.06507707870469515,1.1700199112296104,0.3812748855597327
3,val,0.9397726920714309,0.018418879068359068,0.8069308554224266,0.05616920930423449,0.8826260327100298,0.06543666400583657,0.8767212154089746,0.08273622739856362,0.8329177177567642,0.04404812024253827,0.7695339615636588,0.12293813608793493,1.4214045703411102,0.3693650500376935,1.7380840957164765,0.7462634653491181,2.8481296062469483,2.3719202578712006,2.924803537130356,4.542260042669251,1.969723069667816,0.7035182887056167,4.867305135726928,7.187659463683454
4,test,0.8964665799851074,0.11455714708029571,0.7573177089405023,0.103969023591809,0.8568186634183139,0.13019449163459493,0.8375807644155111,0.10059157494165212,0.8059501384457919,0.04829840830584982,0.7863313202760228,0.09533958010354024,6.943841421604157,20.182356208355557,2.9868711113929747,3.404302857152721,5.112803292274475,11.006165786570707,11.345324635505676,25.542063295211914,6.994093177318573,17.15164981086907,10.197720975875855,17.241632832476483
4,train,0.9767167595232695,0.006149582565618087,0.9141604310913534,0.02230475847496782,0.9572026825842957,0.010976634538379909,0.9675160969508199,0.011411765356228069,0.9335678649977736,0.02070298766598615,0.9428864565384044,0.01967372446181404,1.0,0.0,1.0155330076813698,0.07919025475455582,1.0187116861343384,0.1206735056097834,1.0,0.0,1.020710676908493,0.09084531642359465,1.0435660153627395,0.1541656726658355
4,val,0.9106415400390873,0.13409548557409223,0.7538241156488602,0.16888995721357972,0.8460387586667076,0.11399938397030655,0.873426193061162,0.07710832697085371,0.7948474145364905,0.14092760818781894,0.7303387740443954,0.11177636096439801,2.7372497737407686,4.802133508415731,3.456215727329254,5.615258703770079,4.072548633813858,6.125803018941157,3.6826098203659057,5.116800372815901,3.6142787992954255,4.433359260487344,9.369216328859329,18.282855654478496
5,test,0.8930689998744523,0.11672020787817956,0.7541125627350768,0.10125013941726972,0.8474221760910455,0.13426216804862473,0.8317804756144418,0.10738109704807963,0.8053338434090236,0.05469624890190188,0.7880095059612334,0.10819953446781465,4.890623166561126,13.003125974695491,3.9437888050079346,8.284698988110508,7.577476155757904,18.02828438149489,12.997718036174774,30.815549982449905,7.052816662788391,18.553363085053228,12.63522586107254,21.296892813552326
5,train,0.977832712851227,0.004562935450965197,0.914966228411207,0.02040509235068343,0.957173447303802,0.009430508014879413,0.9684333610520962,0.008777702289412237,0.9328971050253433,0.019478471417908653,0.9427664693475313,0.017994832980709002,1.0,0.0,1.0051776692271233,0.04631048142742563,1.0103553384542465,0.06507707870469513,1.0,0.0,1.0155330076813698,0.07919025475455584,1.0103553384542465,0.06507707870469513
