split,dice_LV_ED_mean_mean,dice_LV_ED_mean_std,dice_LV_ED_std_mean,dice_LV_ED_std_std,dice_MYO_ED_mean_mean,dice_MYO_ED_mean_std,dice_MYO_ED_std_mean,dice_MYO_ED_std_std,dice_RV_ED_mean_mean,dice_RV_ED_mean_std,dice_RV_ED_std_mean,dice_RV_ED_std_std,dice_LV_ES_mean_mean,dice_LV_ES_mean_std,dice_LV_ES_std_mean,dice_LV_ES_std_std,dice_MYO_ES_mean_mean,dice_MYO_ES_mean_std,dice_MYO_ES_std_mean,dice_MYO_ES_std_std,dice_RV_ES_mean_mean,dice_RV_ES_mean_std,dice_RV_ES_std_mean,dice_RV_ES_std_std,hd95_LV_ED_mean_mean,hd95_LV_ED_mean_std,hd95_LV_ED_std_mean,hd95_LV_ED_std_std,hd95_MYO_ED_mean_mean,hd95_MYO_ED_mean_std,hd95_MYO_ED_std_mean,hd95_MYO_ED_std_std,hd95_RV_ED_mean_mean,hd95_RV_ED_mean_std,hd95_RV_ED_std_mean,hd95_RV_ED_std_std,hd95_LV_ES_mean_mean,hd95_LV_ES_mean_std,hd95_LV_ES_std_mean,hd95_LV_ES_std_std,hd95_MYO_ES_mean_mean,hd95_MYO_ES_mean_std,hd95_MYO_ES_std_mean,hd95_MYO_ES_std_std,hd95_RV_ES_mean_mean,hd95_RV_ES_mean_std,hd95_RV_ES_std_mean,hd95_RV_ES_std_std
test,0.8950267005448145,0.0017553319179151787,0.11412517885552105,0.002768283376903311,0.754233897304694,0.002550200577444509,0.10242163971328674,0.002681701671186423,0.852949616484173,0.004999913224621495,0.12461275702002472,0.01118743343676428,0.8363528476769794,0.0027651643739710573,0.10042319304443889,0.005598461594588182,0.8038557131173771,0.0034833964842108443,0.05344809636972857,0.006661666628005804,0.7901756624740078,0.010236696342853933,0.0960210411361355,0.0091406529828963,4.972751517295838,1.6334496158236949,12.283545366183763,6.352857474418533,3.5328786020278935,0.961145219281657,6.28280298521093,4.169354113751038,5.13404410648346,1.6538271629323866,10.777888365659548,5.670220825141938,11.13009409046173,2.083981251436065,24.484108366904355,4.711080951313612,5.829774472236633,1.4302641332681105,14.207016479771818,4.42997295628416,9.569371950149536,2.0845564555678924,16.939895989613504,2.7358267660245215
train,0.9767884449252288,0.0006873228655511187,0.005303443291694266,0.0005877939219124148,0.9129884605185487,0.003423817758951847,0.020999654322005748,0.0014805180042883805,0.9574497505221385,0.0029210967845947787,0.011137348130089974,0.0023018180378778074,0.9668459030487865,0.0014142827867115204,0.011053897960400898,0.001413390965232482,0.9324467184122401,0.0020731929215105655,0.020332149871186977,0.0007711278352426517,0.9410555432083447,0.008206350594121031,0.021023476506864303,0.005735323808500727,1.0010355338454247,0.0023155240713712815,0.009262096285485124,0.02071067690849304,1.0076110219955443,0.005379750510826819,0.05061803550555838,0.0237013573638783,1.020650332570076,0.017502939144614066,0.10757336696412052,0.0757339679105071,1.0010355338454247,0.0023155240713712815,0.009262096285485124,0.02071067690849304,1.0134619399905205,0.005903451212057989,0.07212267721296542,0.017075921887521592,1.0468593207001686,0.0706870528782637,0.13862771995702292,0.14280556435018552
val,0.9302585574100396,0.013128589983305544,0.048281527860672024,0.04946924595356199,0.7847818379205879,0.024176145398472255,0.0862010558870713,0.048859965777835315,0.8653879974288221,0.020073289892863607,0.07311486340721819,0.03946981537924199,0.8717207926531543,0.012965656151220861,0.08261671074725768,0.03174774388309878,0.8101352367330719,0.019805112965465676,0.07595692018783932,0.03807123634034345,0.7582079427621429,0.03433039087440914,0.11671797357144373,0.02790717825950039,2.7862300634384156,1.8493766806540124,5.482599638686774,7.929360728024515,2.256002531051636,0.6979900758490226,1.8608344689097631,2.1210402607035266,3.118308421373367,0.7431877034900997,2.821594778746664,1.9351917183236553,7.4236802673339835,4.155060657819894,17.55451961154204,12.38026399004921,2.4714890837669374,0.6589915024616365,1.6419796080145435,1.5683865083111435,6.4911991357803345,1.949825749362992,11.132624620767674,4.994706809905958
