selection_order,run_name,arch_name,loss_name,lr,weight_decay,batch_size,channels,strides,epochs,best_epoch,train_time,loss_train,loss_val,loss_test,dice_train,dice_val,dice_test,hd95_train,hd95_val,hd95_test,macro_f1_train,macro_f1_val,macro_f1_test,min_disease_recall_train,min_disease_recall_val,min_disease_recall_test,recall_DCM_train,recall_DCM_val,recall_DCM_test,recall_HCM_train,recall_HCM_val,recall_HCM_test,recall_MINF_train,recall_MINF_val,recall_MINF_test,recall_RV_train,recall_RV_val,recall_RV_test,recall_NOR_train,recall_NOR_val,recall_NOR_test
12,12_wider_wider2_DiceLoss_lr0.002_wd0.0001_bs1_ep1000_min250_pat200,wider2,DiceLoss,0.002,0.0001,1,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,399,238.39605623881025,0.2140133401378989,0.2162006620317697,0.2156457006931305,0.7056170701980591,0.7203271985054016,0.7219532132148743,11.453049659729004,9.675596237182615,12.114995002746582,0.8162315270935961,0.6386984126984128,0.7109465697700992,0.6875,0.5333333333333333,0.5,1.0,0.8333333333333333,1.0,0.6875,0.5333333333333333,0.6,0.9375,0.8833333333333332,0.5,0.75,0.6,0.9,0.6875,0.5,0.6
13,13_wider_wider1_DiceLoss_lr0.001_wd0_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.001,0.0,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,318,120.65370310147604,0.0875830626115203,0.175350184738636,0.1776250359416008,0.8897579312324524,0.7652361989021301,0.7559368014335632,1.5957437753677368,6.009094715118408,9.226534843444824,0.9749755620723364,0.8619999999999999,0.6076190476190476,0.9375,0.8666666666666666,0.4,0.9375,0.8666666666666666,1.0,0.9375,0.8666666666666666,0.4,1.0,0.8666666666666668,0.4,1.0,0.9333333333333332,0.7,1.0,0.8166666666666667,0.6
14,14_wider_wider1_DiceLoss_lr0.001_wd1e-05_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.001,1e-05,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,187,103.53869443734489,0.1054101983085274,0.16624835729599,0.1649029058218002,0.8646971583366394,0.7820227742195129,0.7749911546707153,1.7075588703155518,7.612513065338135,10.7936372756958,0.9503320683111957,0.8612380952380952,0.6910101010101011,0.9375,0.7999999999999999,0.4,0.9375,0.8666666666666666,0.9,0.9375,0.7999999999999999,0.7,1.0,1.0,0.4,0.9375,0.8,0.8,0.9375,0.8666666666666666,0.7
15,15_wider_wider1_DiceLoss_lr0.001_wd0.0001_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.001,0.0001,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,281,110.7149918993314,0.1242628583684563,0.1708811454474926,0.1734385553002357,0.8425433039665222,0.7798826098442078,0.7679358720779419,3.12675404548645,7.434561252593994,12.429892539978027,0.9020366856419988,0.743904761904762,0.713582995951417,0.875,0.6833333333333333,0.5,0.9375,0.8833333333333332,1.0,0.875,0.6833333333333333,0.9,0.9375,0.7,0.5,0.875,0.8833333333333332,0.7,0.875,0.7,0.5
16,16_wider_wider1_DiceLoss_lr0.002_wd0_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.002,0.0,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,374,103.24972969293594,0.0738230932503938,0.1658258281648159,0.1667244127392768,0.8970319628715515,0.7770776748657227,0.7690237164497375,1.281865477561951,8.732366561889648,14.12913417816162,0.9874877810361682,0.8546666666666667,0.7563742690058479,0.9375,0.8666666666666668,0.5,0.9375,0.8833333333333332,1.0,1.0,0.8666666666666668,0.7,1.0,0.8833333333333332,0.5,1.0,0.9333333333333332,0.9,1.0,0.7499999999999999,0.7
17,17_wider_wider1_DiceLoss_lr0.002_wd1e-05_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.002,1e-05,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,594,187.5843354344368,0.0894806277006864,0.1598395891487598,0.1546792876720428,0.8728505969047546,0.79259192943573,0.7872790694236755,1.7906382083892822,8.104412078857422,10.339496612548828,0.9262281804217288,0.8179365079365079,0.6911188811188811,0.875,0.8,0.4,0.9375,0.8833333333333332,1.0,0.875,0.8,0.6,1.0,0.9333333333333332,0.4,0.875,0.8666666666666666,0.8,0.9375,0.6166666666666666,0.7
18,18_wider_wider1_DiceLoss_lr0.002_wd0.0001_bs2_ep1000_min250_pat200,wider1,DiceLoss,0.002,0.0001,2,"(32, 64, 128, 256, 512)","(2, 2, 2, 2)",1000,839,235.5224446296692,0.1438948502764105,0.1739989206194877,0.1786024743318557,0.7934414744377136,0.7767633199691772,0.7633471488952637,4.302036285400391,8.881339073181152,12.827289581298828,0.9001927721235121,0.7891428571428571,0.6874308300395257,0.8125,0.7333333333333333,0.6,0.9375,0.8833333333333332,0.9,0.8125,0.7333333333333333,1.0,1.0,0.8166666666666667,0.6,0.9375,0.8833333333333332,0.6,0.8125,0.6666666666666667,0.4
19,19_wider_wider2_DiceLoss_lr0.001_wd0_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.001,0.0,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,257,152.01926050980884,0.1006868176162242,0.1879460118710994,0.1870242255926132,0.8529861569404602,0.7472614049911499,0.7439239621162415,1.881317377090454,5.763171672821045,8.166101455688477,0.9628198493473636,0.8979365079365079,0.7527257056668821,0.9375,0.8666666666666666,0.4,0.9375,0.8833333333333332,1.0,0.9375,0.9333333333333332,0.8,1.0,0.8833333333333332,0.4,0.9375,0.8666666666666666,0.9,1.0,0.9333333333333332,0.7
20,20_wider_wider2_DiceLoss_lr0.001_wd1e-05_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.001,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,584,282.43496205409366,0.0814306372776627,0.150596422702074,0.1476428207755089,0.8831621408462524,0.8007608652114868,0.7976837754249573,1.8163683414459229,5.095033168792725,6.751136302947998,0.9749755620723364,0.8226666666666669,0.708552036199095,0.9375,0.8,0.4,0.9375,0.9333333333333332,0.9,0.9375,0.8,0.7,1.0,0.8833333333333332,0.4,1.0,0.8666666666666666,1.0,1.0,0.6833333333333333,0.6
21,21_wider_wider2_DiceLoss_lr0.001_wd0.0001_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.001,0.0001,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,258,158.9448427637418,0.1634771423414349,0.184662202745676,0.1769785249233245,0.7963638305664062,0.7598662376403809,0.7637108564376831,3.276992082595825,8.578036308288574,10.773541450500488,0.937487781036168,0.7526666666666667,0.7504285188495714,0.9375,0.6666666666666666,0.4,0.9375,0.8666666666666666,1.0,0.9375,0.6666666666666666,0.8,1.0,0.8666666666666666,0.4,0.9375,0.8,0.8,0.875,0.6333333333333333,0.8
22,22_wider_wider2_DiceLoss_lr0.002_wd0_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.002,0.0,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,361,191.95609551270803,0.0654492130503058,0.1578418120741844,0.1606197923421859,0.9060882329940796,0.7881497740745544,0.7770567536354065,1.410616159439087,7.146322727203369,10.362601280212402,0.9624877810361682,0.8523809523809524,0.7164860885065488,0.9375,0.7666666666666667,0.6,0.9375,0.9333333333333332,0.9,0.9375,0.8666666666666666,0.6,1.0,0.7666666666666667,0.6,1.0,0.9333333333333332,0.8,0.9375,0.8166666666666667,0.7
23,23_wider_wider2_DiceLoss_lr0.002_wd1e-05_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.002,1e-05,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,828,344.014041531086,0.1107598356902599,0.1682128272950649,0.1603449565172195,0.8512455224990845,0.7784364819526672,0.7818396687507629,2.5501723289489746,5.467892646789551,8.184298515319824,0.937487781036168,0.7926031746031745,0.7206837606837606,0.9375,0.75,0.5,0.9375,0.8166666666666667,0.9,0.9375,0.8,0.8,1.0,0.8666666666666666,0.5,0.9375,0.75,0.8,0.875,0.7833333333333333,0.6
24,24_wider_wider2_DiceLoss_lr0.002_wd0.0001_bs2_ep1000_min250_pat200,wider2,DiceLoss,0.002,0.0001,2,"(64, 128, 256, 512, 1024)","(2, 2, 2, 2)",1000,268,161.825352815787,0.1987167013809085,0.20524231493473052,0.20130779445171357,0.7163857221603394,0.7316300868988037,0.7313165068626404,7.180418491363525,10.309088706970215,14.757887840270996,0.9013725490196078,0.6892380952380952,0.6852175602175602,0.875,0.5499999999999999,0.5,0.9375,0.8833333333333332,0.9,0.875,0.5499999999999999,0.5,0.9375,0.8166666666666667,0.7,0.875,0.8,0.6,0.875,0.5166666666666666,0.7
