run_name,arch_name,loss_name,channels,strides,lr,weight_decay,batch_size,dice_test,dice_train,dice_val,hd95_test,hd95_train,hd95_val,loss_test,loss_train,loss_val
shallow_DiceCELoss_lr0.0001_wd0.0001_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,1,0.14836326241493225,0.14965027570724487,0.16405925154685974,53.6236572265625,57.7196159362793,54.25017166137695,0.7062751829624176,0.7214697960764169,0.7094108179211617
shallow_DiceCELoss_lr0.0001_wd0.0001_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,2,0.133198082447052,0.13300713896751404,0.14527983963489532,49.55208969116211,49.3465690612793,53.026573181152344,0.8659756624698639,0.8866970472037792,0.8739735364913941
shallow_DiceCELoss_lr0.0001_wd0.0001_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0001,5,0.027304520830512047,0.0241589043289423,0.016419777646660805,110.98898315429688,113.98319244384766,115.6041030883789,1.1998042821884156,1.2220310606062412,1.2066992819309235
shallow_DiceCELoss_lr0.0001_wd0.0_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,1,0.14365491271018982,0.14921294152736664,0.15555468201637268,53.9050178527832,62.43535232543945,61.43458938598633,0.7238763886690139,0.7345325086265803,0.729006165266037
shallow_DiceCELoss_lr0.0001_wd0.0_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,2,0.13637350499629974,0.13684801757335663,0.14514796435832977,44.37712860107422,48.1818733215332,46.72517013549805,0.8557838547229767,0.8756296068429947,0.8598464012145997
shallow_DiceCELoss_lr0.0001_wd0.0_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,0.0,5,0.04741613566875458,0.04674721509218216,0.03500044345855713,60.99455261230469,63.17539596557617,67.96163940429688,1.1934016048908234,1.2222451083362103,1.1993498653173447
shallow_DiceCELoss_lr0.0001_wd1e-05_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,1,0.14526748657226562,0.15242502093315125,0.16653485596179962,56.06862258911133,60.27454376220703,58.10642623901367,0.7136468535661697,0.7254524745047093,0.7141654118895531
shallow_DiceCELoss_lr0.0001_wd1e-05_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,2,0.11262150853872299,0.11613821983337402,0.11354517936706543,49.0251350402832,53.71638107299805,52.0245246887207,0.8487939500808716,0.8634860590100288,0.8561157613992691
shallow_DiceCELoss_lr0.0001_wd1e-05_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0001,1e-05,5,0.030902037397027016,0.024419378489255905,0.023037267848849297,65.02371978759766,71.06957244873047,79.2550277709961,1.1585412621498108,1.1871867403388023,1.1647345572710037
shallow_DiceCELoss_lr0.0005_wd0.0001_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,1,0.48278042674064636,0.5419973134994507,0.4945204257965088,37.2360725402832,31.779638290405273,36.99164962768555,0.4557432322204113,0.40437794420868156,0.4536598093807697
shallow_DiceCELoss_lr0.0005_wd0.0001_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,2,0.3698568642139435,0.3637475073337555,0.3690831959247589,41.696495056152344,45.424476623535156,42.901458740234375,0.5493381017446518,0.558868731930852,0.5562998443841934
shallow_DiceCELoss_lr0.0005_wd0.0001_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0001,5,0.15878143906593323,0.15976491570472717,0.1669830083847046,44.814414978027344,49.244144439697266,47.16291046142578,0.7200850009918213,0.7414633929729462,0.7290153801441193
shallow_DiceCELoss_lr0.0005_wd0.0_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,1,0.4911181926727295,0.48776525259017944,0.47866255044937134,33.14706039428711,39.68406677246094,36.45326614379883,0.45389113411307336,0.4557116752490401,0.47478081062436106
shallow_DiceCELoss_lr0.0005_wd0.0_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,2,0.3563552796840668,0.3138224482536316,0.33976444602012634,48.36097717285156,51.64570236206055,45.536773681640625,0.5607599133253097,0.5881118375808001,0.5780825212597847
shallow_DiceCELoss_lr0.0005_wd0.0_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,0.0,5,0.14769510924816132,0.15609820187091827,0.16419120132923126,54.65168380737305,62.649375915527344,59.29301834106445,0.7214081853628158,0.7348108943551779,0.7243587002158165
shallow_DiceCELoss_lr0.0005_wd1e-05_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,1,0.49601954221725464,0.5121628642082214,0.5045191049575806,33.15337371826172,32.32317352294922,34.676918029785156,0.4428353701531887,0.4292641032487154,0.4476362980902195
shallow_DiceCELoss_lr0.0005_wd1e-05_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,2,0.3176570534706116,0.3169465661048889,0.3087475001811981,40.8687629699707,44.771446228027344,43.36155319213867,0.5870533525943756,0.5843041483312845,0.5942752107977867
shallow_DiceCELoss_lr0.0005_wd1e-05_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.0005,1e-05,5,0.14428919553756714,0.15736880898475647,0.1698005646467209,51.64875030517578,57.054542541503906,53.112464904785156,0.7371457636356353,0.740506999194622,0.73857531696558
shallow_DiceCELoss_lr0.001_wd0.0001_bs1,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,1,0.5695526003837585,0.5413997173309326,0.544049859046936,28.567689895629883,31.558441162109375,34.382530212402344,0.399082356095314,0.4144026733003557,0.426950192078948
shallow_DiceCELoss_lr0.001_wd0.0001_bs2,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,2,0.47118836641311646,0.4382191598415375,0.4608789384365082,39.1008186340332,40.29122543334961,45.437355041503906,0.46344475626945497,0.4880084164440632,0.4729898989200592
shallow_DiceCELoss_lr0.001_wd0.0001_bs5,shallow,DiceCELoss,"(8, 16, 32, 64)","(2, 2, 2)",0.001,0.0001,5,0.26120081543922424,0.2800968289375305,0.27340152859687805,41.27206039428711,44.483802795410156,39.590362548828125,0.6083627372980118,0.6059479117393494,0.6098088473081589
